OverallQual,GrLivArea,GarageCars,TotalBsmtSF,1stFlrSF,FullBath,YearBuilt
5,896,1.0,882.0,896,1,1961
6,1329,1.0,1329.0,1329,1,1958
5,1629,2.0,928.0,928,2,1997
6,1604,2.0,926.0,926,2,1998
8,1280,2.0,1280.0,1280,2,1992
6,1655,2.0,763.0,763,2,1993
6,1187,2.0,1168.0,1187,2,1992
6,1465,2.0,789.0,789,2,1998
7,1341,2.0,1300.0,1341,1,1990
4,882,2.0,882.0,882,1,1970
7,1337,2.0,1405.0,1337,2,1999
6,987,1.0,483.0,483,1,1971
5,1092,1.0,525.0,525,1,1971
6,1456,2.0,855.0,855,2,1975
7,836,1.0,836.0,836,1,1975
9,2334,3.0,1590.0,1627,2,2009
8,1544,3.0,1544.0,1544,2,2009
9,1698,3.0,1698.0,1698,2,2005
8,1822,3.0,1822.0,1822,2,2005
9,2696,3.0,2846.0,2696,2,2003
8,2250,3.0,1671.0,1687,2,2002
8,1370,2.0,1370.0,1370,2,2006
6,1324,2.0,1324.0,1324,2,2005
7,1145,2.0,1145.0,1145,2,2006
7,1374,2.0,384.0,744,2,2004
7,1733,2.0,847.0,847,2,2004
8,2475,3.0,1629.0,1645,2,1998
8,1595,3.0,1595.0,1595,2,2005
7,1218,2.0,1218.0,1218,2,2009
6,1468,2.0,1468.0,1468,2,2005
7,1659,2.0,831.0,831,2,2004
5,1012,1.0,816.0,1012,1,1920
6,1494,2.0,1208.0,1494,2,1974
8,2349,3.0,1231.0,1251,2,1993
8,2225,3.0,1390.0,1402,2,1992
7,1488,2.0,1488.0,1488,2,2004
7,1680,2.0,840.0,840,2,2004
7,1200,2.0,600.0,600,2,2004
7,1200,2.0,600.0,600,2,2004
6,1236,2.0,600.0,600,2,2005
6,1512,2.0,756.0,756,2,2000
7,1080,2.0,530.0,530,2,2003
8,1418,3.0,1642.0,1418,1,2010
8,1848,2.0,975.0,975,2,2000
7,1492,2.0,1492.0,1492,2,2002
6,1829,2.0,1829.0,1829,2,1967
6,2495,2.0,1280.0,1280,2,1993
6,1891,2.0,1224.0,1287,3,1978
6,1645,2.0,715.0,930,1,1971
5,1232,2.0,1232.0,1232,1,1966
5,1209,2.0,1209.0,1209,1,1966
5,1510,2.0,1510.0,1510,2,1967
6,1775,2.0,533.0,1131,2,1964
5,1728,0.0,1728.0,1728,2,1962
5,2461,2.0,1140.0,1929,2,1952
6,1556,2.0,782.0,1019,2,1949
6,1128,1.0,1080.0,1128,1,1966
5,1604,2.0,1604.0,1604,2,1958
7,1480,2.0,1480.0,1480,2,2003
5,1143,1.0,1143.0,1143,1,1959
5,1206,1.0,1206.0,1206,1,1959
6,1580,2.0,1244.0,1580,1,1959
4,1337,1.0,832.0,832,1,1956
5,1064,1.0,864.0,1064,1,1952
5,972,1.0,972.0,972,1,1955
5,988,1.0,988.0,988,1,1958
4,985,2.0,576.0,985,1,1920
6,1224,1.0,816.0,816,1,1948
5,1175,2.0,1175.0,1175,1,1960
6,1395,2.0,1395.0,1395,1,1963
4,1844,1.0,709.0,1157,1,1900
5,936,0.0,936.0,936,1,1920
5,1347,2.0,1347.0,1347,1,1957
6,1251,1.0,827.0,827,1,1938
5,1633,1.0,1027.0,1027,1,1948
5,1245,1.0,1008.0,1060,1,1920
2,832,2.0,678.0,832,1,1923
8,1566,1.0,930.0,930,2,1900
8,2268,2.0,346.0,1157,3,1890
5,2256,0.0,840.0,1128,2,1910
6,1470,2.0,738.0,868,1,1922
5,1612,1.0,988.0,1030,1,1950
7,2068,1.0,1108.0,1160,1,1922
4,765,1.0,765.0,765,1,1925
6,1132,1.0,608.0,608,1,1939
6,1196,2.0,572.0,848,1,1940
5,1453,1.0,835.0,955,1,1942
6,1416,1.0,780.0,780,1,1948
5,1040,2.0,528.0,548,1,1936
5,1536,2.0,928.0,928,2,1930
6,1068,1.0,1124.0,1068,1,1923
4,1962,2.0,888.0,888,1,1915
6,1560,0.0,780.0,780,1,1912
6,1324,1.0,662.0,662,1,1920
5,1675,1.0,1422.0,1675,2,1959
5,1224,1.0,689.0,725,1,1917
5,1392,0.0,1212.0,1212,1,1915
6,919,1.0,600.0,600,1,1940
4,1884,0.0,707.0,942,1,1907
5,1680,2.0,856.0,936,2,1910
4,1832,0.0,1832.0,1832,2,1967
5,892,1.0,864.0,892,1,1966
5,864,1.0,864.0,864,1,1968
5,1373,2.0,1319.0,1373,1,1978
5,1440,2.0,720.0,720,1,1968
7,1483,2.0,1420.0,1483,1,1977
4,756,2.0,660.0,756,1,1927
6,1981,2.0,1117.0,1117,2,1978
3,1610,1.0,972.0,1052,2,1938
6,1074,1.0,663.0,1074,1,1950
4,1531,1.0,756.0,1169,1,1947
5,1172,1.0,1172.0,1172,1,1954
7,1508,2.0,1508.0,1508,1,2009
5,1298,2.0,1250.0,1298,2,1964
7,1433,2.0,1433.0,1433,1,1987
6,1802,4.0,946.0,964,2,1993
7,1222,2.0,1222.0,1222,2,2010
6,1445,2.0,676.0,831,2,1900
5,965,2.0,870.0,965,1,1996
7,1692,2.0,878.0,892,2,1997
5,1026,1.0,1026.0,1026,1,1977
5,876,2.0,876.0,876,1,1972
8,1978,3.0,1978.0,1978,2,2003
7,2098,2.0,1040.0,1044,2,1997
6,848,2.0,848.0,848,1,2003
3,640,1.0,0.0,640,1,1945
5,992,1.0,381.0,992,1,1954
5,1196,1.0,1196.0,1196,1,1968
4,1120,2.0,744.0,792,1,1948
6,1096,1.0,1008.0,1096,1,1975
4,960,0.0,960.0,960,1,1958
5,1296,1.0,1107.0,1296,2,1924
6,856,2.0,856.0,856,1,1939
4,2650,0.0,0.0,862,3,1967
5,1666,0.0,894.0,894,1,1931
7,2133,1.0,1528.0,1225,1,1941
5,2177,2.0,1032.0,1102,2,1950
7,1652,2.0,423.0,896,2,1994
8,1034,2.0,982.0,1034,1,1989
8,1191,2.0,1191.0,1191,2,1989
2,540,1.0,480.0,540,1,1941
6,1107,1.0,629.0,727,1,1921
4,952,1.0,756.0,952,1,1896
8,1646,2.0,1594.0,1646,2,2004
8,1916,3.0,1049.0,1036,2,1998
6,1285,2.0,1243.0,1285,2,1977
6,2048,2.0,1958.0,2048,3,1976
7,1346,3.0,1336.0,1346,2,2008
7,1214,2.0,1214.0,1214,2,2009
5,1444,2.0,384.0,744,2,2006
5,1264,2.0,1068.0,1264,1,1965
5,1430,2.0,1430.0,1430,2,2004
5,1344,2.0,1344.0,1344,2,1999
5,945,1.0,945.0,945,1,1973
4,1092,0.0,546.0,546,1,1970
4,1092,0.0,546.0,546,1,1970
4,1092,1.0,546.0,546,1,1972
5,874,1.0,864.0,874,1,1971
5,833,2.0,833.0,833,1,1984
5,2432,2.0,1216.0,1216,4,1985
5,1274,2.0,624.0,624,1,1991
5,1479,1.0,864.0,864,2,1969
8,1803,2.0,1679.0,1803,2,1994
6,1797,2.0,1152.0,1152,2,1993
6,882,1.0,882.0,882,1,1956
6,1434,2.0,1434.0,1434,2,1974
6,1608,2.0,945.0,945,2,1997
8,2283,3.0,1008.0,1008,2,2003
7,1628,2.0,384.0,958,2,1996
8,2522,2.0,2208.0,2522,2,2004
8,1478,2.0,1418.0,1478,2,1998
8,1734,2.0,1587.0,1734,2,1995
7,1382,2.0,384.0,751,2,1998
6,1636,2.0,952.0,952,2,1998
6,1516,2.0,707.0,707,2,1994
6,1190,2.0,1181.0,1190,2,1993
5,1934,2.0,1122.0,946,2,1977
7,2050,2.0,832.0,1154,2,1978
6,1671,2.0,1427.0,1671,2,1978
7,2673,2.0,1043.0,1539,2,1980
6,1707,2.0,1140.0,1707,2,1978
7,1884,2.0,926.0,1016,2,2003
8,1874,2.0,1058.0,1058,2,2000
8,1811,2.0,972.0,972,2,2002
5,1621,2.0,1621.0,1621,2,1975
6,1116,2.0,1116.0,1116,2,1974
7,1193,2.0,1176.0,1193,2,1975
5,1180,2.0,1180.0,1180,1,1970
5,1050,1.0,1043.0,1050,1,1971
4,864,2.0,864.0,864,1,1970
4,864,2.0,864.0,864,1,1971
6,987,1.0,483.0,483,1,1973
6,987,1.0,483.0,483,1,1972
6,1548,2.0,804.0,804,2,1976
7,1055,2.0,1057.0,1055,2,1975
6,1456,2.0,855.0,855,2,1977
6,1548,2.0,804.0,804,2,1978
6,1456,2.0,855.0,855,2,1978
7,836,1.0,836.0,836,1,1976
5,1120,2.0,864.0,1120,1,1966
9,2772,3.0,1776.0,1794,3,2007
9,2690,3.0,1365.0,1365,2,2009
9,2020,3.0,2020.0,2020,2,2008
10,2674,3.0,2630.0,2674,2,2007
9,1736,3.0,1736.0,1736,2,2008
8,1782,3.0,1782.0,1782,2,2004
8,2520,3.0,1508.0,1508,2,2007
9,1743,3.0,1739.0,1743,2,2008
9,1531,3.0,1504.0,1531,2,2006
9,1808,3.0,1774.0,1808,2,2008
7,1760,2.0,1760.0,1760,2,2003
9,2452,3.0,2452.0,2452,2,2003
8,2400,3.0,1082.0,1105,3,2003
8,1606,3.0,1598.0,1606,2,2006
6,1358,2.0,1358.0,1358,2,2005
6,1306,2.0,1306.0,1306,2,2005
7,1358,2.0,1350.0,1358,2,2007
10,2492,3.0,2492.0,2492,2,2004
8,2200,3.0,2200.0,2200,2,2003
9,1884,2.0,1884.0,1884,2,2008
9,1456,2.0,1451.0,1456,2,2008
8,1712,3.0,1712.0,1712,2,2002
7,1405,2.0,1405.0,1405,2,2003
7,1456,2.0,728.0,728,2,2005
6,1490,2.0,745.0,745,2,2005
7,1220,2.0,1220.0,1220,2,2005
7,1374,2.0,384.0,744,2,2004
7,1630,2.0,868.0,868,2,2004
7,1594,2.0,846.0,846,2,2004
7,1489,2.0,782.0,806,2,2003
7,1342,2.0,698.0,698,2,2003
8,2004,3.0,870.0,878,2,2002
7,1374,2.0,384.0,744,2,2004
6,1514,2.0,794.0,819,2,2000
7,1430,2.0,384.0,774,2,1999
7,2312,3.0,1177.0,1223,2,1999
7,1430,2.0,384.0,774,2,1999
8,2687,3.0,1455.0,1466,2,2000
8,2063,3.0,2024.0,2063,2,1994
7,2061,2.0,1070.0,1094,2,1995
8,2232,2.0,1173.0,1215,2,1993
8,1696,3.0,1696.0,1696,2,2008
8,1658,3.0,1614.0,1658,2,2008
8,1702,3.0,1702.0,1702,2,2007
8,1432,2.0,1422.0,1432,2,2006
9,2490,3.0,2458.0,2490,2,2005
7,1436,2.0,1436.0,1436,2,2008
7,1402,2.0,1402.0,1402,2,2008
9,1530,3.0,1530.0,1530,2,2007
8,1448,2.0,1372.0,1448,2,2006
8,1795,3.0,900.0,909,2,2006
8,1836,2.0,1836.0,1836,2,2008
7,1662,3.0,1652.0,1662,2,2006
7,1553,2.0,1553.0,1553,2,2003
7,1653,2.0,812.0,812,2,2003
7,1218,2.0,1218.0,1218,1,2007
7,1141,2.0,1141.0,1141,1,2006
6,1158,0.0,1158.0,1158,1,2004
7,1812,2.0,835.0,871,2,2004
8,1512,3.0,1512.0,1512,2,2004
7,1114,2.0,1114.0,1114,1,2004
